,O15232,O60635,P07585,P08727,P08833,P14136,P16234,P52823,P55259,Q9P0M4,Q9Y653,Class Label
139,-0.5853,-0.304,-1.5712,1.9963,3.1635,-0.2042,-0.1482,1.3575,-1.3526,-0.5187,-0.9276,0
140,0.4262,-0.4917,-1.3509,3.5015,-2.3791,0.7798,-0.9779,-0.0131,-0.1863,-1.2544,0.2433,0
141,-0.1683,-0.2129,-2.516,-0.3521,-2.925,-1.1215,-1.4867,-0.0099,-1.3883,-1.8653,1.2048,0
142,-1.896,-0.3534,-1.9925,-1.4808,-2.949,0.6721,-1.7895,-1.7851,-1.2154,-0.1981,-0.541,0
143,-0.654,0.2477,-1.6613,-1.661,-1.2609,-0.524,-2.1829,0.0314,0.8253,-1.3207,0.6908,0
144,-0.9711,-0.5834,-2.3295,0.0582,-1.5511,-0.8711,-1.7645,-0.255,-1.9239,-1.527,-3.0034,0
145,-2.0546,-0.6163,-2.6326,-1.7926,-2.8781,-1.1365,-2.0502,-1.9478,-1.2022,-1.5402,-2.1812,0
146,-1.5837,-0.706,-1.4787,-1.6372,-0.8268,-1.0099,-1.3265,-1.6679,-1.7131,-0.485,-2.2439,0
147,-0.4416,-0.5258,0.0695,-0.5789,-2.6994,-0.7136,-0.9191,1.318,-0.255,-0.2762,-0.7827,0
148,-1.5125,-0.6119,-2.3699,0.1127,0.4818,-0.9485,-1.7025,-1.1522,-1.2127,-1.4462,-2.2104,0
149,-0.3781,0.0756,-1.8577,-0.7269,0.3284,-0.1991,-0.3905,0.3641,0.3071,0.2532,-1.7909,0
150,-0.3453,-0.5267,-1.9532,1.7343,-0.1761,-0.8932,-1.1953,-0.3514,-1.7206,-0.9118,-1.2681,0
151,0.5866,-0.3981,-0.669,3.1105,-1.145,-0.1636,-1.229,0.7223,-0.5405,-0.811,-1.3793,0
152,-0.5955,0.0085,-1.092,-1.0959,-0.7923,0.2961,-1.1483,-1.5576,2.8949,-0.1813,0.3543,0
153,-0.9762,-0.398,-2.0517,0.8728,-1.4987,-0.9177,-1.2772,-0.267,-0.9403,-0.6135,-2.0356,0
154,-0.0643,0.5269,-1.5094,1.4544,-2.0632,-0.3972,-1.471,0.0193,-0.7237,1.0575,-1.5471,0
155,-0.7366,-0.1259,-0.9394,-0.4775,0.5774,0.0868,-1.0335,-0.1852,0.2838,2.0231,-0.4382,0
156,0.0659,-0.7038,-1.7521,-0.6806,-3.3421,-1.6469,-1.9715,-0.9663,0.4979,0.5012,-2.6875,0
157,-1.6614,-0.6844,-1.8609,-0.6074,-1.923,-0.9041,-1.8743,-1.454,1.2249,-1.6742,-2.5658,0
158,-0.7242,-0.2161,-2.3166,2.9657,-1.1286,-1.2553,-0.7369,-0.11,-2.1513,-1.7238,-1.5178,0
159,-1.8941,-0.6323,-2.099,-1.1371,-2.8102,-1.3611,-1.9858,-1.4457,-0.4812,-0.7574,-2.0995,0
160,-1.005,-0.4621,-1.8572,-0.7463,1.4136,-0.8255,-1.2734,-1.3317,-1.1443,-1.0539,-0.5812,0
161,1.171,-0.6381,-1.1228,2.1332,-0.2486,-1.169,-1.4322,0.219,1.1459,-1.4037,-1.0736,0
162,0.5941,-0.1707,-2.3092,2.0456,-1.0872,-0.9628,-1.6606,-0.2436,-0.7144,-1.1485,-1.1277,0
163,-0.8728,-0.542,-1.4238,0.2228,-0.4219,-0.8032,-1.6593,0.2762,-1.5327,-0.88,-1.2768,0
164,-0.7708,-0.7844,-0.8507,-0.0822,2.3817,-1.0112,-0.1884,0.7929,-0.8759,3.2687,-1.0221,0
165,-1.3177,-0.5211,-2.3141,3.2406,0.1265,-1.6049,-1.5167,-0.4878,-0.9067,-0.9218,-0.1332,0
166,-1.1311,-0.8031,-2.7922,-0.0937,-1.5603,-1.7751,-2.422,-0.7631,-2.0558,0.1259,-2.8915,0
167,-0.2231,-0.48,-1.4352,0.5022,-0.2906,0.07,-1.1506,-0.3454,-0.4921,-0.952,-1.6403,0
168,0.198,-0.4108,-0.1576,-0.1704,0.2163,-1.0549,-0.4939,0.4995,1.2254,-0.2108,-1.3377,0
169,-0.7824,-0.0173,-1.7088,1.7546,2.2284,-0.3493,-0.6798,-1.9503,-0.0544,-0.1954,-1.6234,0
170,-0.6139,-0.5442,-2.0838,-1.2114,-2.0072,-0.7936,-1.8327,-0.5933,-0.8712,-1.4475,-2.1736,0
