,P07585,P08833,P14136,P16234,P52823,P55259,Q9P0M4,Q9Y653,Class Label
126,-2.4381,-3.1279,-1.5292,-1.728,-0.9513,-1.8022,-1.8112,-2.5561,0
127,-1.4608,0.2444,0.8782,-0.6306,-1.3903,-1.1547,1.7847,0.6602,0
128,-1.5597,-1.5256,-0.7694,-1.2779,-1.1692,0.253,-0.6618,-0.808,0
129,-1.8778,-2.7641,-1.2764,-2.2777,-0.4291,-0.6705,-1.4687,-0.4982,0
130,-2.0153,-5.0606,-1.3452,-2.0507,-0.7564,-2.2929,-1.5801,-2.4524,0
131,-2.4304,-2.9568,-1.4335,-1.6418,-1.2611,-0.0561,-2.0675,-1.8188,0
132,-1.7876,-0.1787,-1.0982,-1.2279,-0.9416,-0.1522,-0.8471,-2.1033,0
133,-2.5337,-2.5132,-0.2939,-1.8184,-0.7125,-1.0321,-0.5944,-2.7871,0
134,-0.5874,-1.1896,-0.5056,-0.947,-0.1712,2.7287,-0.0148,-1.5997,0
135,-2.5751,-4.5541,-1.4407,-1.5178,-1.5003,-1.679,-1.8398,-1.9098,0
136,-0.3091,2.2402,-1.0969,-0.7692,0.3492,-0.7866,-0.2111,-1.9713,0
137,-1.7715,1.9162,-0.8962,-1.5772,-0.6509,-0.6957,-2.3952,-1.5628,0
138,-2.3147,-2.0555,-0.8531,-1.6388,-0.4239,-1.1048,-0.5944,-1.9828,0
139,-1.5712,3.1635,-0.2042,-0.1482,1.3575,-1.3526,-0.5187,-0.9276,0
140,-1.3509,-2.3791,0.7798,-0.9779,-0.0131,-0.1863,-1.2544,0.2433,0
141,-2.516,-2.925,-1.1215,-1.4867,-0.0099,-1.3883,-1.8653,1.2048,0
142,-1.9925,-2.949,0.6721,-1.7895,-1.7851,-1.2154,-0.1981,-0.541,0
143,-1.6613,-1.2609,-0.524,-2.1829,0.0314,0.8253,-1.3207,0.6908,0
144,-2.3295,-1.5511,-0.8711,-1.7645,-0.255,-1.9239,-1.527,-3.0034,0
145,-2.6326,-2.8781,-1.1365,-2.0502,-1.9478,-1.2022,-1.5402,-2.1812,0
146,-1.4787,-0.8268,-1.0099,-1.3265,-1.6679,-1.7131,-0.485,-2.2439,0
147,0.0695,-2.6994,-0.7136,-0.9191,1.318,-0.255,-0.2762,-0.7827,0
148,-2.3699,0.4818,-0.9485,-1.7025,-1.1522,-1.2127,-1.4462,-2.2104,0
149,-1.8577,0.3284,-0.1991,-0.3905,0.3641,0.3071,0.2532,-1.7909,0
150,-1.9532,-0.1761,-0.8932,-1.1953,-0.3514,-1.7206,-0.9118,-1.2681,0
151,-0.669,-1.145,-0.1636,-1.229,0.7223,-0.5405,-0.811,-1.3793,0
152,-1.092,-0.7923,0.2961,-1.1483,-1.5576,2.8949,-0.1813,0.3543,0
153,-2.0517,-1.4987,-0.9177,-1.2772,-0.267,-0.9403,-0.6135,-2.0356,0
154,-1.5094,-2.0632,-0.3972,-1.471,0.0193,-0.7237,1.0575,-1.5471,0
155,-0.9394,0.5774,0.0868,-1.0335,-0.1852,0.2838,2.0231,-0.4382,0
156,-1.7521,-3.3421,-1.6469,-1.9715,-0.9663,0.4979,0.5012,-2.6875,0
157,-1.8609,-1.923,-0.9041,-1.8743,-1.454,1.2249,-1.6742,-2.5658,0
158,-2.3166,-1.1286,-1.2553,-0.7369,-0.11,-2.1513,-1.7238,-1.5178,0
159,-2.099,-2.8102,-1.3611,-1.9858,-1.4457,-0.4812,-0.7574,-2.0995,0
160,-1.8572,1.4136,-0.8255,-1.2734,-1.3317,-1.1443,-1.0539,-0.5812,0
161,-1.1228,-0.2486,-1.169,-1.4322,0.219,1.1459,-1.4037,-1.0736,0
162,-2.3092,-1.0872,-0.9628,-1.6606,-0.2436,-0.7144,-1.1485,-1.1277,0
163,-1.4238,-0.4219,-0.8032,-1.6593,0.2762,-1.5327,-0.88,-1.2768,0
164,-0.8507,2.3817,-1.0112,-0.1884,0.7929,-0.8759,3.2687,-1.0221,0
165,-2.3141,0.1265,-1.6049,-1.5167,-0.4878,-0.9067,-0.9218,-0.1332,0
166,-2.7922,-1.5603,-1.7751,-2.422,-0.7631,-2.0558,0.1259,-2.8915,0
167,-1.4352,-0.2906,0.07,-1.1506,-0.3454,-0.4921,-0.952,-1.6403,0
168,-0.1576,0.2163,-1.0549,-0.4939,0.4995,1.2254,-0.2108,-1.3377,0
169,-1.7088,2.2284,-0.3493,-0.6798,-1.9503,-0.0544,-0.1954,-1.6234,0
170,-2.0838,-2.0072,-0.7936,-1.8327,-0.5933,-0.8712,-1.4475,-2.1736,0
171,-1.9283,-2.522,-0.9414,-1.6455,-1.5028,-2.0284,0.4157,-2.136,0
172,-1.1189,-0.0273,0.62,-1.389,-1.2046,0.4908,0.5215,-0.5386,0
173,-1.6933,-2.6853,-1.1378,-2.2795,-1.148,-1.3859,-1.303,-1.9681,0
174,-2.0422,-0.958,-0.7562,-1.9585,-2.1511,-1.9725,-0.9682,-2.2727,0
175,-2.6541,-2.7827,-1.1244,-1.9512,-0.9016,-1.9039,-2.3872,-2.3874,0
176,-1.9012,-3.0473,-1.1987,-1.5335,-1.1411,-1.0827,-1.5061,-1.4977,0
177,-1.8917,-2.3913,-1.2173,-1.966,-0.405,-0.2525,-1.3533,-1.8507,0
178,-1.5273,0.6091,-1.1382,-1.4401,0.3342,-2.4194,0.9099,-0.8346,0
179,-2.6815,-3.1951,-1.2288,-1.4715,-0.9135,-0.944,-1.5784,-2.6046,0
180,-1.8269,-4.2818,-0.9239,-1.4843,-1.0748,-1.4789,-0.8715,-2.4204,0
181,-2.162,0.8337,-0.4614,-1.2021,-0.5575,-0.5331,-1.7198,-1.7619,0
182,-1.4998,-3.8748,-1.6085,-0.9162,-0.3619,-1.9089,-2.1263,-1.4687,0
183,-2.689,-0.1189,-1.4003,-1.865,-0.268,-0.1741,-0.8919,-2.0024,0
184,-0.981,1.1865,-0.4409,-1.5571,-1.4513,-1.5998,-1.7224,-2.5932,0
185,-1.9764,2.7793,-1.1968,-0.9651,1.4992,3.0477,0.9227,0.2318,0
186,0.3794,3.4898,0.9134,-0.3142,2.4421,0.32,2.8034,-1.1193,0
187,-1.161,-1.2637,0.1918,-1.1892,-0.3654,-1.1949,-1.1919,-2.1545,0
188,-0.61,3.3988,-0.4435,0.191,1.3189,-0.1633,-0.2053,0.0054,0
189,-2.0074,-2.2717,-1.1756,-1.689,-1.3178,-2.4301,-1.961,-2.1215,0
190,-1.6852,-1.5194,0.2499,-1.3105,-0.4685,-1.8664,0.0944,-1.9788,0
191,-1.9847,1.6101,0.0227,-1.5776,-0.5552,-0.9189,-2.3472,-1.1604,0
192,-2.5552,-0.9105,-0.6521,-1.2759,-1.2434,-2.1221,-0.4336,-2.2373,0
193,-0.9791,-0.43,-1.0108,-1.6225,-0.1226,-1.294,-0.1493,-1.0166,0
194,-2.1885,-3.3154,-0.7625,-1.2751,-0.061,-1.1075,0.0749,-1.5974,0
195,-0.7779,-0.9656,-0.0346,-1.347,-0.4417,-0.3335,1.0072,-0.0822,0
196,-2.2819,-2.7066,-0.9749,-1.934,-1.4646,-1.3195,-0.7116,-1.3129,0
197,-1.7354,-0.7443,-0.0315,-0.5814,-0.3718,-0.6935,-0.6987,-1.8599,0
198,-2.3053,-2.8008,-0.1153,-1.1756,-0.7689,-2.2084,-1.1718,-2.0619,0
199,-1.9267,-0.8064,-1.0597,-2.0861,-0.5585,-1.686,-1.1687,-3.3895,0
200,-2.4416,-3.8067,-1.3903,-1.7077,-1.4197,-1.2227,-1.7661,-1.5023,0
201,-1.9225,-3.4146,-0.7961,-1.119,-1.039,-0.6734,-0.9532,-2.1389,0
202,-1.8646,-2.9519,-0.6377,-1.4137,-0.0838,-1.9877,-1.9706,-2.4532,0
203,-0.6369,2.7033,-0.3354,-0.1019,-0.9221,4.0274,1.1923,-2.691,0
204,-1.2349,-0.4235,-0.4408,-1.2436,-0.2801,-1.713,-0.5128,1.3561,0
205,-1.7602,-3.9614,-1.6611,-0.7931,0.6007,-1.9656,-1.3018,-1.7102,0
206,-1.9677,-3.0774,-0.699,-1.5897,-0.8075,-1.1185,-0.6518,-0.2482,0
