,O14793,O60635,P07585,P08727,P14136,P18627,P24387,P52823,P55259,Q92820,Q969V3,Q96NZ8,Q99748,Q9NZV1,Q9P0M4,Q9UGM5,Q9Y653,Class Label
69,-2.8245,-0.6401,-3.0606,0.8719,-1.0101,0.5264,-1.2488,-1.1599,-1.157,-0.8155,-0.3881,-1.8008,-0.4416,-1.2782,-1.8218,-2.1069,-2.6205,0
70,-2.7224,-0.8684,-1.4969,1.4298,-0.3561,-0.9656,-0.9356,0.0122,-1.937,-1.1391,-0.1033,-2.5721,0.1021,-1.3644,-1.3702,-2.0208,-1.7694,0
71,-2.8766,-0.4407,-2.3959,1.4226,-1.2902,0.1812,-1.9121,-0.5076,-0.7198,-1.1967,-0.5272,-1.9463,0.1124,-1.2682,-1.3028,-1.0883,-1.9175,0
72,-2.6799,-0.1209,-1.1835,0.4519,-0.0832,0.9084,-1.8299,-0.3147,-1.1202,-1.3722,-0.3612,-1.3715,-0.0415,-0.3843,4.0249,-3.4009,-1.97,0
73,-2.2901,-0.6282,-1.7623,-0.4994,-0.4616,-1.627,-2.3624,-1.0787,-0.3242,-1.854,-0.5019,-2.8117,-0.1372,-1.3079,-0.2959,-2.4955,-2.4189,0
74,-2.4479,-0.1697,-2.342,1.094,-0.4113,-0.4412,-2.5248,-0.6347,-1.8526,-1.7041,0.2059,-2.9153,0.5706,-1.3935,-2.5424,-2.237,0.3341,0
75,-1.0976,-0.4743,-1.8198,0.1591,-1.4011,-0.5565,-2.3522,-0.3686,-1.1488,-0.6717,-0.6613,-2.394,-0.3517,-1.556,-1.1136,-1.884,-1.1394,0
76,-2.4775,-0.5708,-1.9491,0.9485,-0.4923,-2.03,-3.172,-1.8331,-0.4259,-1.5053,-0.3655,-2.2633,0.2277,-1.2979,-1.3096,-2.4454,-2.3592,0
77,-2.3577,-0.8541,-2.7689,0.1409,-0.8054,-1.2209,-1.5916,-0.7274,-1.6921,-0.3838,-0.015,-2.2483,-0.559,-1.8924,-0.7157,-2.6907,-2.6135,0
78,-1.5608,-0.3723,-1.8284,-1.4749,0.3222,-0.194,-2.2494,-1.1365,-0.9087,-2.0527,-0.3272,-2.548,-0.459,-1.5718,-0.1074,-1.7095,-2.4789,0
79,-2.6588,0.7526,-2.9238,-2.5462,-0.7544,-1.5147,-2.4946,-1.4744,-1.4625,-1.2131,-0.7385,0.1782,-0.1326,-1.998,-2.6879,-2.6545,-2.9338,0
80,-2.1779,-0.4459,-2.551,-0.2797,-1.936,-1.369,-3.1534,-1.6333,-2.1725,-1.3016,-0.6081,-2.3666,0.1599,-1.933,-1.7386,-2.6103,-2.9716,0
81,-3.5069,-0.5083,-2.4863,-2.064,-1.0567,-0.8747,-2.4693,-0.6591,-1.7372,-1.703,-0.6969,-1.6022,-0.2755,-1.1547,-1.6502,-2.2475,-2.3585,0
82,-1.8879,-0.4247,-1.4757,0.2633,-1.0576,0.3889,-1.7264,-1.6729,-1.4973,0.034,-0.3615,-1.3845,0.3774,-1.2422,-0.4439,-0.9244,-2.1645,0
83,-2.0053,-0.3622,-1.9408,0.0009,-1.8891,0.6851,-2.8129,-1.0947,-1.1809,-1.2762,-0.4958,-1.9413,-0.3702,-1.4872,-2.0396,-1.5368,-1.0725,0
84,-2.9968,-0.6937,-1.9922,0.992,-0.027,0.649,-3.1157,0.1668,-1.193,-1.2643,-0.4113,-2.3602,-0.0514,-0.7041,0.1633,-2.1785,-1.5833,0
85,-1.4471,-0.6603,-2.1515,0.4517,-0.8246,-0.7279,-1.8261,-0.6976,-1.1612,-1.0736,-0.734,-2.1055,0.3409,-1.1691,-1.7744,-1.8927,-1.8386,0
86,-2.1863,-0.3779,-2.52,0.7693,-1.7785,-0.6463,-1.5593,-0.3422,-2.6236,-0.5433,-0.395,-2.2977,-0.5344,-1.2651,-1.9024,-2.0913,-2.3192,0
87,-2.6682,-0.5437,-1.0087,1.089,-0.2792,0.7093,-1.9083,1.0257,-1.5479,-0.954,-0.2377,-2.1656,-0.9571,-0.7028,0.7143,-1.8047,1.5214,0
88,-2.9508,-0.5898,-0.1649,0.6779,0.574,-0.1382,-2.6571,0.1461,0.8129,-1.6169,0.0352,-2.4725,0.4161,-0.5993,-0.6177,-3.0027,0.1883,0
89,-2.2599,-0.3776,-1.7197,2.0998,-0.1049,-0.8499,-1.2694,0.3137,-0.9652,-0.8592,-0.2027,-2.3975,-0.7779,-0.9871,-1.0246,-2.247,-0.6337,0
90,-3.5115,-0.657,-1.4224,-0.1384,-0.9097,-1.1627,-2.0422,0.3645,0.2274,-0.9502,-0.5808,-2.5576,0.1029,-1.3304,-1.9363,-1.7363,-2.5561,0
91,-1.2345,-0.2442,-1.8327,-1.0365,-1.2689,-0.471,-2.2714,-1.036,-1.4651,-0.9546,-0.4827,-1.7837,0.3503,-1.0007,-0.0127,-1.0147,-1.9369,0
92,-3.7969,-0.5154,-1.8003,1.9552,-0.2169,-0.6334,-2.1555,0.4893,-1.6979,-1.173,-0.1529,-2.7415,0.1597,-0.804,-1.4633,-2.3418,-3.2921,0
93,-2.7124,-0.7773,-2.1074,1.5988,-2.0712,-0.003,-1.7209,0.1502,-1.0726,-0.2339,-0.0823,-2.5042,0.2494,-1.0008,-0.9805,-2.5366,-0.5657,0
94,-2.6263,-0.3706,-1.5818,-0.5892,0.6278,0.4079,-2.448,-0.5179,-0.3596,-1.1929,-0.1828,-2.1041,0.0582,-1.2132,0.4292,-1.6778,-0.7076,0
