,A1E959,O60635,O95750,O95994,P00750,P01591,P08833,P14136,P14780,P19429,P19801,P21246,P43629,P52823,P55259,P60568,Q29980_Q29983,Q5JZY3,Q8IU54,Q96JP9,Q9P0M4,Q9Y265,Q9Y653
72,0.2676,-0.1209,-3.0311,-1.9484,-0.7752,-0.9356,1.8237,-0.0832,0.1121,-0.5783,-2.0998,-0.2611,-1.2928,-0.3147,-1.1202,-0.3322,-1.4375,-1.8499,1.6063,-1.0097,4.0249,-1.8518,-1.97
73,-0.8346,-0.6282,-2.0011,0.1329,-1.8374,-4.4716,2.1454,-0.4616,-1.379,-1.2869,-2.2006,-1.1687,-0.9061,-1.0787,-0.3242,0.4807,-1.0815,-2.1827,-0.0148,-1.271,-0.2959,-1.2882,-2.4189
74,-0.4848,-0.1697,-2.1003,0.799,-1.5118,-1.4768,-1.1161,-0.4113,-0.505,-3.3551,-1.8015,-1.3314,-2.2238,-0.6347,-1.8526,0.0436,-1.3855,-2.3199,1.5101,-1.0401,-2.5424,-1.5444,0.3341
75,-0.6095,-0.4743,-1.8387,-0.7289,-0.7953,-1.4336,-3.8335,-1.4011,-0.2116,-3.256,-1.3912,-1.2284,-2.3582,-0.3686,-1.1488,-0.4215,-3.3564,-1.6549,1.621,-1.8751,-1.1136,-1.5992,-1.1394
76,-1.0255,-0.5708,-1.5406,2.4847,-1.0097,-0.9491,-0.4508,-0.4923,0.0132,-3.3038,-1.9461,0.1844,-1.8974,-1.8331,-0.4259,-0.2252,-1.6281,-1.9389,-0.8323,-1.8079,-1.3096,-1.099,-2.3592
77,-0.3411,-0.8541,-3.3796,1.4849,-1.3271,-1.2457,-2.6048,-0.8054,0.0395,-3.1917,-1.6468,-1.4753,-1.7929,-0.7274,-1.6921,-0.3239,-4.9188,-2.3334,0.395,-1.7896,-0.7157,-0.8141,-2.6135
78,-0.2673,-0.3723,-1.7541,-1.4728,-1.6573,-1.3933,-3.6024,0.3222,-1.2074,-3.4418,-2.1024,-0.3711,-1.155,-1.1365,-0.9087,0.0685,-5.6732,-1.8531,0.2103,-1.7063,-0.1074,-1.15,-2.4789
79,0.1825,0.7526,-2.678,-0.5272,-1.8576,-1.6144,-5.3324,-0.7544,1.3069,-2.8613,-1.8019,-0.7029,-1.6887,-1.4744,-1.4625,0.3088,-1.5035,-1.9304,-0.3438,-1.7735,-2.6879,-0.3148,-2.9338
80,-0.3042,-0.4459,-3.2446,-0.0567,-2.2485,-1.1239,-5.5291,-1.936,-0.4168,-2.996,-1.9385,-2.0093,-1.9664,-1.6333,-2.1725,-1.0846,-3.4075,-1.6883,1.1101,-1.7417,-1.7386,-0.5327,-2.9716
81,-0.6993,-0.5083,-3.0555,-2.2241,-2.1731,-1.2879,-1.4823,-1.0567,1.4226,-3.2187,-2.327,-1.9631,-2.0095,-0.6591,-1.7372,0.087,-0.9638,-1.9907,-1.106,1.179,-1.6502,-1.2552,-2.3585
82,-0.3674,-0.4247,-0.9438,-0.1236,-0.5887,-1.5842,-1.9163,-1.0576,-3.2371,-2.7579,-1.1556,-0.3344,-2.3086,-1.6729,-1.4973,-0.167,-4.2215,-2.2813,1.011,-1.4581,-0.4439,-1.8898,-2.1645
83,0.278,-0.3622,-1.7612,-0.783,-0.4925,-2.209,-2.879,-1.8891,-0.3784,-3.5013,-1.4935,-0.6963,-1.3438,-1.0947,-1.1809,-0.028,-4.911,-2.109,2.5592,-1.7999,-2.0396,-0.4081,-1.0725
84,-1.1445,-0.6937,-1.6599,-0.403,-1.1204,-0.8912,0.4074,-0.027,-1.905,-0.095,-1.2438,-0.6535,-2.5455,0.1668,-1.193,0.5091,-1.3028,-2.454,2.3139,-2.0735,0.1633,0.5343,-1.5833
85,-0.7343,-0.6603,-2.7924,-0.6725,-1.4346,-0.8191,-1.8421,-0.8246,-0.2117,-3.4078,-1.8047,-1.5829,-3.0257,-0.6976,-1.1612,0.5812,-5.6207,-2.2,1.1199,-1.3243,-1.7744,1.8497,-1.8386
