,A1E959,O00626,O14793,O43895,O60240,O60635,O95994,P01591,P05783,P07585,P08727,P10721,P14136,P14210,P18627,P19429,P24387,P29017,P35225,P42785,P43629,P51531,P52823,P55259,Q8IU54,Q8TD06,Q92820,Q969V3,Q96JP9,Q96NZ8,Q99748,Q9BXJ7,Q9NZV1,Q9P0M4,Q9UGM5,Q9UHF4,Q9Y3P8,Q9Y653
39,-0.6828,-0.5021,-2.8627,-2.3099,-0.1758,-0.08,-2.6441,0.2421,-1.772,-0.2834,0.1642,-3.2083,-0.6277,-0.4672,-0.0222,-3.2826,-1.2206,-2.3885,-0.2051,-1.0729,-0.9352,-0.5381,-0.3686,-1.0227,0.2881,-0.6163,-0.998,-0.1019,-1.7636,-2.3749,0.1717,-0.5412,-0.9892,-0.5944,-2.253,-0.7454,1.3454,1.239
40,-0.1725,-1.28,-1.6043,-5.3021,-0.3143,4.5702,3.3828,-0.4573,0.456,-1.377,3.8743,-2.3002,-0.007,-1.038,0.3349,-0.343,-2.4542,-2.3964,1.5248,-1.9462,-2.0929,0.2378,0.3586,1.8285,2.8906,0.9868,-1.6933,-0.4258,-1.3463,-2.5276,-0.5813,-0.1089,-0.9667,-0.7155,-2.6021,-1.1713,-0.303,2.2478
41,-0.251,-1.2634,-1.4918,-3.097,0.3532,-0.3007,1.3821,-1.0005,0.2765,-0.6947,2.5852,-2.4362,0.1802,-0.4263,0.9496,-2.3252,-1.534,-2.3819,-0.9764,-2.3067,-1.3619,0.5452,0.4423,-0.1938,3.7864,1.3752,-1.4393,-0.3954,-1.9314,-2.9803,-0.0401,-0.0533,-0.1586,-0.7795,-1.4584,-0.4429,0.2318,-1.1646
42,-0.735,-1.3624,-3.2896,-3.4466,-0.4901,-0.4644,-0.9797,-1.1869,-2.9392,-1.878,-0.8912,-3.2554,-0.3151,-0.7485,-1.1773,-3.3129,-1.8369,-3.1238,-0.7169,-2.4074,-2.1005,0.0452,-0.541,-1.6665,-0.3775,-1.7041,0.2002,-0.7016,-1.9304,-2.4557,0.2446,-0.8131,-1.6108,-0.3355,-2.3588,-0.5191,0.7031,-2.3599
43,-0.6568,-3.3013,-2.7496,-3.4888,-0.5914,-0.5068,-1.1508,-2.2601,-2.0866,-2.1022,-0.4527,-2.4951,-1.8937,0.3811,-0.8317,-3.0148,-2.6389,-2.325,-0.5577,-2.0469,-2.6569,0.2975,-0.9577,3.2841,-1.5207,-1.4427,-2.0345,-0.138,-1.606,-2.6178,0.0886,-1.0064,-0.7753,-0.5911,-2.7195,-0.3248,1.5934,0.6887
44,-0.7707,-2.1256,-2.3234,-3.7528,-0.4952,-0.3404,2.1957,-0.8941,-1.0165,-2.1164,1.7506,-2.8615,-1.4149,0.8287,-1.4618,-2.672,-1.9049,-2.5345,-0.2989,-2.5302,-1.8655,-0.1341,-0.731,0.9123,1.5945,-1.2653,-0.6913,-0.5468,-1.8182,-3.0046,0.3867,-0.9908,-1.511,-1.9261,-2.7643,-1.3916,-0.0048,-0.7227
45,-0.148,-0.367,-2.8938,-1.8064,-0.2378,-0.3993,-0.6097,-1.0541,-2.4554,-1.9789,-1.2995,-1.7995,-0.3656,-1.2856,0.9316,-3.3833,-1.9137,-2.0384,-0.4556,-1.5034,-0.9482,0.6034,-0.4975,-0.9035,2.1587,1.3613,-0.2556,-0.1314,-1.7818,-2.2294,0.1719,-0.0399,-1.177,-2.1152,-1.2553,-0.4499,1.766,-1.7442
46,-0.4695,-0.9969,-2.4918,-3.2447,-0.5972,-0.8547,0.7085,-0.7644,-0.16,-2.2829,1.0837,-2.1425,-1.6338,-0.9506,-0.159,-2.8013,-2.1139,-2.7092,-0.3509,-2.0402,-1.9062,-0.1892,-1.5182,-1.6465,1.6822,-0.4907,-0.5432,-0.2224,-1.2934,-2.5302,0.0587,-0.4471,-0.908,-0.1163,-1.7617,-0.3061,0.6713,-2.1267
47,-0.4719,-1.0296,-2.8686,-2.9499,-0.4317,-0.4684,-0.0611,-1.6199,-1.2417,-2.0479,1.6422,-2.2254,-1.3531,0.4329,-1.0736,-2.1427,-1.0702,-2.6579,-0.6756,-1.8727,-2.2292,-0.8417,-0.6145,-0.3812,-0.6895,-1.5846,-1.1914,-0.5678,-1.386,-2.2805,-0.4859,-0.4674,-1.2482,-1.2834,-2.0986,-0.6925,0.6114,-2.9592
48,-0.4535,-1.824,-2.0196,-2.0346,-0.2343,-0.4078,-0.5845,-1.3576,-2.3219,-1.5568,-0.2459,-2.5129,0.1014,-1.5661,-0.8372,-3.1365,-3.0084,-2.6877,-0.9948,-2.7474,-1.0729,-0.9999,-0.3974,-1.3327,0.2135,0.7219,-1.7051,-0.0662,-1.7335,-3.2949,0.2829,-1.4678,-1.5837,0.6121,-2.2324,-0.609,0.6321,-1.479
49,-0.3122,-0.7124,-2.9038,-4.4889,-0.644,-0.3992,1.0938,-0.809,-0.1699,-1.7423,1.6058,-2.3183,-0.476,-0.2442,0.2326,-3.5195,-1.6841,-2.1815,-0.5724,-2.1991,-1.4552,-0.1024,-0.674,0.2046,2.1712,-0.754,-0.9488,-0.6788,-1.8261,-2.5298,-0.6897,-0.4805,-0.5107,-1.16,-1.9805,-0.4674,0.6645,-1.4837
50,-0.2738,0.5654,-3.1274,-5.2863,0.1784,-0.3396,-1.7595,-1.9181,-1.753,-1.286,-1.0757,-2.9844,-0.2996,0.8111,-1.0363,-1.9345,-1.6491,-2.6821,-0.9168,-1.5429,-0.4594,0.2002,0.3826,-0.9311,-0.0545,-1.3525,0.1917,-0.5476,-2.2291,-2.4162,-0.2587,-0.8892,-1.2718,-1.0105,-2.3245,-0.6022,0.4485,-0.1552
51,-0.6622,-1.039,-3.1844,-1.7853,-0.2371,-0.5603,-0.9776,-0.8739,-1.7462,-2.1074,-0.1823,-3.2982,0.3076,-0.7351,-0.4074,-2.9966,-1.827,-2.8434,-0.6652,-2.3969,-1.0861,0.7805,-0.7021,0.9874,0.1939,-0.7536,-1.3644,0.8064,-1.6516,-2.2438,0.2244,-1.2941,-1.0777,-2.2708,-2.8923,-0.9826,0.8134,-2.0301
52,-0.9617,-0.8278,-1.9695,-4.3799,-0.107,-0.8687,-1.9257,-1.1776,-2.9945,-2.5379,-1.1945,-2.4356,-1.2921,-1.9334,-2.4839,-4.0167,-2.6059,-1.8314,-0.8672,-2.4,-1.6482,-0.3089,-1.816,-1.1827,-0.6844,-0.7053,-1.5823,-0.1138,-1.9782,-2.8324,0.5139,-1.164,-2.2387,-1.6901,-0.4865,-1.1931,1.1495,-2.5655
53,-0.6879,-1.6826,-2.6033,-1.4296,-0.2254,-0.4333,-0.4963,-0.8769,-1.526,-2.6332,-0.0651,-2.3974,-1.2179,-1.0301,-0.3196,-2.4258,-2.2549,-2.2971,-0.6571,-2.7639,-1.3559,0.1303,-0.4169,-1.9592,1.12,-0.4882,-0.9336,-0.5178,-1.6996,-2.4601,0.0199,-0.4554,-2.332,-0.6921,-2.3085,-1.2547,-0.3357,-1.9468
54,-0.8008,-2.0168,-3.2356,-0.6274,2.1611,-0.6557,2.001,-0.9916,5.4335,-1.2633,2.0131,-2.8842,-1.362,1.3056,0.4798,-2.9232,-1.8546,-3.0753,-1.03,-1.106,-1.1425,-0.3598,-0.0883,-1.6505,3.742,1.0561,-1.5788,-0.3268,-1.49,-2.2445,-0.0503,-0.9756,-0.0515,-1.114,-2.3615,-0.7136,1.4303,-0.226
55,-0.7613,-1.2325,-2.7182,-3.6268,-0.2104,-0.564,3.5762,-1.4557,-0.309,-2.4329,1.8139,-2.6138,-2.7838,-0.2517,-1.0512,-1.6874,-1.8469,-2.6133,-0.6639,-2.3014,-3.4199,-0.1636,0.3499,-1.927,1.8805,0.3914,-0.3774,-0.4388,-2.0316,-2.4281,0.1207,-1.0111,-1.092,-2.0408,-2.261,-0.7593,0.2039,-2.0838
56,-0.9456,-1.0726,-1.0826,-3.5927,-0.3704,-0.1772,-0.5776,-1.3113,-0.4595,-0.6498,-0.7752,-2.2369,-0.4179,-0.9692,0.0161,-2.7002,-2.8262,-2.308,-0.5871,-2.1589,-2.0691,-0.3921,-0.7558,-1.5545,3.0855,-0.3047,-1.0879,-0.2169,-1.6621,-2.0205,-0.541,-0.619,-0.6815,-1.7687,-1.4612,-0.7538,1.2061,-0.858
57,-0.901,0.2062,-2.3801,-3.8051,0.5956,0.4,0.6306,-1.3019,-0.5282,-0.2032,0.7035,-2.2384,0.0387,0.2517,0.5736,-2.5782,-0.9546,-2.2619,-0.4241,-1.3162,-1.4686,-0.1137,0.0552,0.7749,-0.7934,-0.7813,-1.6303,-0.4381,-1.9152,-2.4757,0.0938,-0.9885,0.3089,-0.9122,-2.4749,-0.1249,1.3766,2.2999
58,-0.719,-1.3,-2.1933,-5.6854,0.0077,-0.2928,1.9179,-1.8704,0.8257,-2.0416,1.986,-2.196,-1.8472,-0.2589,-0.2909,-1.5645,-2.1634,-2.7768,-0.6465,-3.3292,-1.2478,0.3876,0.2167,-1.6006,2.8428,0.7084,-0.2806,-0.3058,-1.4994,-2.2568,0.2465,0.1799,-1.2967,-1.6394,-2.1018,-0.8012,0.3862,-2.4561
59,-1.1717,-0.8861,-3.0626,-3.1824,-0.1645,1.8752,-0.7533,-0.6109,-0.2622,-1.4352,2.156,-2.8767,0.1802,-0.5154,1.1504,-2.9974,-1.9749,-3.1205,-0.2376,-2.0698,-2.5608,0.1418,-0.9835,1.675,1.157,-1.2421,-1.7584,-0.0049,-1.4418,-2.3464,0.1724,-0.5142,0.609,-1.3007,-3.2209,-0.4326,0.5912,0.8109
