,O60635,P07585,P08727,P14136,P18627,P24387,P52823,P55259,Q969V3,Q9NZV1,Q9P0M4,Q9UGM5,Q9Y653,Class Label
101,0.0089,-2.2348,-0.4278,-0.9724,-0.4585,-2.873,0.5546,-1.3697,-0.2689,-0.6443,-2.3054,-2.5537,0.3621,0
102,-0.5795,0.4861,0.2889,0.0474,0.1161,-1.692,0.1653,1.7113,-0.4756,-0.4575,0.8313,-2.5296,-1.3527,0
103,-0.19,-1.8613,-1.2057,-1.193,-0.1808,-2.137,-0.7821,-0.3853,-0.129,-1.2403,-2.2072,-1.8695,-1.9461,0
104,-0.6829,-2.1993,-1.5749,-1.2052,-0.9997,-1.6297,-0.9329,-2.4762,-0.809,-1.7572,0.7769,-2.7062,-0.8245,0
105,1.2687,-0.0552,5.2902,-0.8051,1.0022,-2.1594,2.1297,3.1662,-0.2567,-0.0427,-0.2815,-3.2757,1.4189,0
106,-0.8096,-1.7509,-0.1523,-0.2829,-0.09,-1.2159,-1.0505,-2.2311,-0.3716,-0.084,-0.5876,-1.9114,-1.4822,0
107,0.309,-2.1304,1.3037,-1.9735,-0.391,-1.8424,-0.2217,-0.2163,-0.3962,-1.2835,-1.7325,-1.5213,0.0998,0
108,-0.2616,-1.6582,0.2945,-1.3388,-0.157,-2.2796,0.6958,-2.1744,-0.3618,-1.1153,-1.0932,-1.2951,-1.7773,0
109,-0.5937,0.3221,0.8956,0.3344,-0.0546,-1.3377,0.6811,0.7363,0.1526,0.1289,-0.5652,-1.445,-1.1602,0
110,-0.5728,-0.6004,1.2422,-0.8892,1.1865,-0.0162,2.0014,0.1505,-0.5552,-0.3076,0.7413,-0.9766,1.5435,0
111,-0.2011,-0.8618,2.9514,0.1782,0.3952,-2.3579,1.4576,-1.3252,-0.48,-0.4957,0.7208,-1.8212,-1.082,0
112,-0.6987,-2.9414,-0.6229,-0.9811,0.1551,-2.2477,-1.804,-1.8266,-0.2211,0.2711,-1.0618,-0.3602,-1.9367,0
113,-0.261,-2.8723,-2.0688,-1.3178,-2.5922,-3.4501,-1.7127,-1.9069,-0.1461,-1.9005,-2.4447,-1.0944,-2.9843,0
114,-0.4026,-1.837,0.6921,-0.2221,-0.5894,-1.9403,0.6774,1.1963,-0.1484,-1.1365,-1.7065,-2.6184,-1.2682,0
115,-0.3949,-1.9253,-1.4518,-0.8188,-2.1947,-1.3329,-1.7967,0.9908,-0.4038,-1.7175,-1.8553,-0.9321,-1.8654,0
116,-0.802,-2.63,0.0353,-1.5418,-1.3765,-3.0249,1.0365,-1.9931,-0.3776,-2.2965,0.5255,-3.4164,-2.1145,0
117,-0.0731,-0.8138,2.8818,0.1983,0.4331,-1.9907,3.4017,-1.0554,-0.527,0.294,-0.7978,-1.8959,-0.8081,0
118,-0.2905,-1.6267,0.1981,-1.3529,-0.2974,-2.6509,-0.7445,-1.1114,-0.0457,-1.3012,-0.7296,-1.6107,-2.3782,0
119,-0.452,-2.3106,0.6119,-2.0707,-0.8135,-2.4047,0.7478,-0.5601,-0.4293,-1.3786,-2.9989,-3.4642,-0.3071,0
120,-0.631,-2.2741,0.4228,-1.357,-0.3395,-2.3595,-0.2564,-2.6035,-0.0269,-1.3452,-0.4172,-1.727,-2.9649,0
121,0.5063,-1.1197,2.7187,-0.696,-1.0354,-2.4665,1.3,0.2997,-0.2615,-0.8525,-1.2921,-3.1635,-1.3614,0
122,-0.6531,-1.4918,0.2497,0.7344,0.5584,-1.7105,0.17,-0.9222,-0.586,-0.1732,-1.3394,-1.1852,-1.2085,0
123,-0.6037,-2.5238,-1.7611,-1.293,-0.6497,-1.8818,-1.0352,-1.0638,-0.166,-1.6039,-1.658,-1.9867,-1.8712,0
124,-0.6718,-2.846,-0.597,-2.0069,-0.9536,-1.709,-1.4025,-2.8065,-0.4147,-1.725,-1.2323,-1.4774,-2.5156,0
125,-0.3344,-2.1265,0.1455,-1.391,-0.2152,-2.2027,-1.1631,-2.7558,-0.4556,-1.5362,-2.0573,-1.1105,-2.8773,0
126,-0.4279,-2.4381,-1.0631,-1.5292,-0.3952,-1.9372,-0.9513,-1.8022,0.1494,-1.347,-1.8112,-1.6607,-2.5561,0
127,-0.7475,-1.4608,0.0892,0.8782,-0.0293,-1.9761,-1.3903,-1.1547,-0.3624,-0.9302,1.7847,-2.4286,0.6602,0
128,-0.5718,-1.5597,0.3064,-0.7694,-0.0572,-1.4725,-1.1692,0.253,0.003,-1.0747,-0.6618,-0.8403,-0.808,0
129,-0.6773,-1.8778,0.9303,-1.2764,-0.996,-1.8839,-0.4291,-0.6705,-0.0282,-1.4475,-1.4687,-2.3825,-0.4982,0
130,-0.3009,-2.0153,-2.6781,-1.3452,-1.1548,-2.1147,-0.7564,-2.2929,-0.1157,-1.8405,-1.5801,-1.0265,-2.4524,0
131,-0.4223,-2.4304,-1.8127,-1.4335,-2.3344,-2.6639,-1.2611,-0.0561,-0.7573,-1.6807,-2.0675,-3.6952,-1.8188,0
132,1.3777,-1.7876,-1.9223,-1.0982,-1.0838,-2.2318,-0.9416,-0.1522,-0.3086,-0.7761,-0.8471,-2.4906,-2.1033,0
133,-0.638,-2.5337,-0.4366,-0.2939,-0.6936,-1.9948,-0.7125,-1.0321,-0.9976,-1.3404,-0.5944,-2.0072,-2.7871,0
134,-0.5973,-0.5874,1.0863,-0.5056,0.0108,-2.2797,-0.1712,2.7287,-0.7715,-0.7713,-0.0148,-2.4998,-1.5997,0
135,-0.6634,-2.5751,-0.9239,-1.4407,-0.8034,-2.4165,-1.5003,-1.679,-0.0185,-1.6021,-1.8398,-1.825,-1.9098,0
136,-0.7351,-0.3091,-1.1008,-1.0969,-0.263,-2.0904,0.3492,-0.7866,-0.2824,-0.18,-0.2111,-2.331,-1.9713,0
