,A1E959,O60542,O60635,O95256,O95750,O95994,P00750,P01591,P05231,P08833,P09466,P14136,P14780,P15336,P16860,P19429,P19801,P21246,P43629,P51531,P55259,P60568,Q29980_Q29983,Q5JZY3,Q8IU54,Q8N2G4,Q92832,Q96JP9,Q9NRD8,Q9P0M4,Q9Y265,Q9Y653,Class Label
55,-0.7613,-0.916,-0.564,-2.6254,-3.7937,3.5762,-0.9468,-1.4557,1.4022,-0.3768,-0.9187,-2.7838,0.1438,-0.5372,-1.112,-1.6874,-2.1315,-1.3482,-3.4199,-0.1636,-1.927,0.46,-1.3287,-1.9088,1.8805,-0.3757,-1.0408,-2.0316,-0.6855,-2.0408,-1.6045,-2.0838,0
56,-0.9456,-1.8215,-0.1772,-0.91,-1.3854,-0.5776,-1.4655,-1.3113,1.2597,0.0675,0.0767,-0.4179,-0.1421,-0.6255,-1.5349,-2.7002,-2.0067,-0.3395,-2.0691,-0.3921,-1.5545,-0.0166,-0.7038,-2.099,3.0855,-0.3759,-0.6743,-1.6621,-0.7946,-1.7687,-1.6212,-0.858,0
57,-0.901,-2.2154,0.4,-0.9131,-1.6769,0.6306,0.4682,-1.3019,2.0771,1.675,2.6845,0.0387,0.262,-0.3001,3.8459,-2.5782,-1.6828,0.363,-1.4686,-0.1137,0.7749,-0.2177,0.844,-1.9561,-0.7934,-0.7018,-2.2192,-1.9152,-0.9189,-0.9122,2.9144,2.2999,0
58,-0.719,-2.5984,-0.2928,-2.0517,-1.6272,1.9179,-1.0387,-1.8704,1.956,-3.3921,-0.264,-1.8472,0.0566,-0.1927,-1.8353,-1.5645,-2.2043,-0.7348,-1.2478,0.3876,-1.6006,0.3437,-1.1413,-1.9815,2.8428,-0.2284,-1.6259,-1.4994,0.2863,-1.6394,-0.068,-2.4561,0
59,-1.1717,-2.8803,1.8752,-1.6683,0.0565,-0.7533,0.0919,-0.6109,1.9563,1.0439,1.7038,0.1802,0.049,-0.2031,0.5218,-2.9974,-2.115,-0.1989,-2.5608,0.1418,1.675,0.2835,-0.9069,-2.1939,1.157,-0.2585,-3.1185,-1.4418,-0.7809,-1.3007,-0.752,0.8109,0
60,-0.2762,-3.6575,-0.2113,-2.6404,-1.2287,6.985,0.1088,-1.2775,2.4738,2.7252,0.5325,-0.1005,1.61,0.1389,-0.2598,1.0424,-1.3973,-0.5989,-0.1157,0.7035,1.1285,0.1444,-1.7802,-1.2888,-0.6856,-0.059,-2.9063,-1.6507,-0.1043,2.9217,-0.4891,-1.7414,0
61,0.1302,-2.1954,-0.4791,-1.5416,-0.7224,-0.9476,1.6075,-0.1394,1.7884,3.2163,1.0474,-0.3137,0.9894,0.4039,6.0139,3.5251,-1.333,3.4607,-2.5667,0.33,2.351,0.2808,-0.2148,-1.7329,-1.7924,-0.1888,-1.449,-1.9922,-0.6804,0.7957,0.1389,1.3266,0
62,-0.2878,-2.766,-0.6029,-2.6728,-1.7934,-1.2681,-1.7686,-0.7141,1.891,-4.3444,0.0402,-1.7203,-1.3809,-0.6002,-1.7784,-3.0012,-1.6095,-1.7979,-2.3338,0.452,-2.6218,0.5546,-0.9632,-1.7917,0.8943,-0.1999,-2.1465,-1.1813,-0.4987,-2.1539,-1.1406,-2.8154,0
63,-0.6045,-4.7987,-0.4076,1.6143,-2.3567,-1.9918,-2.3917,-3.3463,2.0649,0.8977,-0.5606,-1.3854,-0.59,-0.5803,-1.4595,-3.2176,-1.6548,-1.1925,-2.4102,0.1904,-2.2016,-0.2019,-1.9931,-2.0637,0.5074,-0.4119,-1.5557,-1.5452,-0.6461,-1.2131,-1.0442,-2.605,0
64,-1.1882,-2.0158,-0.5948,-2.2263,-1.1224,-1.1854,-1.6209,0.2506,1.282,1.8729,3.1318,0.0781,-0.4278,-0.4182,5.8237,-3.0562,-0.7361,0.2716,-1.3078,0.427,-0.4059,0.5242,-3.3357,-2.381,0.0156,0.3525,-2.1667,-1.4758,-0.4995,0.3532,0.3602,-1.104,0
65,0.0549,-4.4011,-0.4875,-2.4895,-2.1541,-0.0895,-1.6668,-1.3133,1.4159,-3.388,0.2145,-1.0524,0.0919,-0.8552,1.709,-2.811,-2.0923,-1.1257,-0.6816,-0.1838,-0.7528,0.6682,-5.6083,-2.3032,2.6069,-0.3125,-1.0216,-1.6501,-0.6214,-1.3861,4.8831,-1.5809,0
66,-0.2599,-2.4703,0.0234,-2.3165,-1.677,0.527,-0.4066,-0.8815,1.5541,0.1494,-0.4505,-0.5254,-0.7838,-0.327,-1.8813,-2.9058,-1.9716,-0.8336,-1.2385,0.4742,0.3622,-0.1266,-4.8505,-1.4921,1.8909,-0.0455,-1.2172,-1.0157,-0.8467,0.4902,-0.4979,0.3121,0
