,P07585,P52823,Q9P0M4,Q9UGM5,Q9Y653,Class Label
198,-2.3053,-0.7689,-1.1718,-1.2191,-2.0619,0
199,-1.9267,-0.5585,-1.1687,-1.2444,-3.3895,0
200,-2.4416,-1.4197,-1.7661,-2.0925,-1.5023,0
201,-1.9225,-1.039,-0.9532,-2.5553,-2.1389,0
202,-1.8646,-0.0838,-1.9706,-1.295,-2.4532,0
203,-0.6369,-0.9221,1.1923,-2.9331,-2.691,0
204,-1.2349,-0.2801,-0.5128,-2.3298,1.3561,0
205,-1.7602,0.6007,-1.3018,-2.158,-1.7102,0
206,-1.9677,-0.8075,-0.6518,-2.9668,-0.2482,0
207,-0.3699,0.8774,0.146,-2.2602,1.3828,0
208,-1.3826,-0.2362,-1.8198,-2.1239,-1.6762,0
209,-2.5529,-1.1716,-1.6364,-2.4361,-1.9502,0
210,-1.3865,0.1072,-1.1047,-2.0471,-1.3141,0
211,-1.2478,1.1996,-1.5249,-2.7514,-2.0374,0
212,-1.4662,0.5521,-0.2048,-1.6875,-1.5841,0
213,0.0562,-0.3198,1.0674,-2.0634,-1.8495,0
214,-3.117,-0.9474,-1.8769,-1.7082,-2.3257,0
215,-1.9958,-1.2171,-1.7206,-1.2278,-2.1518,0
216,-2.2149,-0.6925,-2.3948,-1.569,-1.8051,0
217,-1.9175,-1.0519,-0.0627,0.1824,-1.6532,0
218,-2.656,-1.4796,-1.3403,-1.8153,-3.0713,0
219,-1.6065,-1.6213,-0.5984,-3.1447,-0.4295,0
220,-2.4236,-0.5163,-2.973,-1.9943,-1.725,0
221,-1.1345,-0.6588,-0.5366,-1.463,0.014,0
222,0.2205,1.8225,0.6575,-3.4289,-0.0208,0
223,-1.6871,-1.2969,-0.7019,-2.2464,0.266,0
224,-0.261,0.2181,0.6627,-2.2472,0.6285,0
225,-1.787,-0.207,-1.6607,-2.4358,-1.7473,0
226,0.8885,1.85,2.1852,-2.0551,-0.3393,0
227,-0.9695,-0.9173,0.5495,-2.4369,-0.6117,0
228,-1.5764,0.015,-1.9041,-2.3416,-0.3792,0
229,-1.2014,4.8475,2.0649,-1.8198,-1.3295,0
230,-1.3667,0.1138,-0.9737,-3.1919,0.3587,0
231,-1.7004,-1.2688,-0.9284,-1.4215,-0.9199,0
232,-2.275,0.0791,-1.5299,-2.0213,-1.5679,0
233,-0.8034,-0.1659,-1.9186,-2.791,-1.9356,0
234,-1.6928,-1.5571,-0.909,-2.5992,-2.3302,0
235,-1.3366,-1.2983,-1.5282,-2.2535,-1.4815,0
236,0.3118,2.725,0.452,-2.1896,-0.666,0
237,-2.3467,-0.2255,-2.1372,-1.9002,-1.3697,0
238,-1.7507,-1.1252,-0.095,-1.7989,-0.0376,0
239,-1.7746,-0.1943,-0.2284,-2.3799,-2.1102,0
240,-1.7643,-0.6939,-0.6727,-1.8369,-2.4452,0
241,-1.8898,-0.3747,0.1474,-1.7307,-2.4727,0
242,-1.3589,1.1762,-0.8709,-2.4815,1.5284,0
243,-2.039,-0.5926,-2.0206,-3.099,-1.28,0
244,-0.8861,1.1418,-1.6124,-3.0397,-1.2362,0
245,-1.1561,-0.3912,-0.4176,-1.2742,-1.3727,0
246,-1.567,0.2014,0.9284,-2.1163,-1.4503,0
247,-2.6332,-0.8741,-0.0481,-3.1223,-1.4376,0
248,-2.0581,-0.322,-0.7045,-3.1597,-0.9607,0
249,-0.9147,3.0223,-0.4167,-1.8436,0.7917,0
250,-2.2792,-1.595,0.2613,-1.1929,-2.683,0
251,-2.0816,-1.3351,-1.8177,-3.2184,-0.9196,0
252,-1.4421,-1.146,-0.7994,-1.6698,-0.8382,0
