,O15232,O60635,P00750,P07585,P08727,P08833,P14136,P16234,P18627,P19429,P52823,P55259,Q9P0M4,Q9Y653
65,-0.7893,-0.4875,-1.6668,-2.0779,0.2836,-3.388,-1.0524,-1.6777,0.0728,-2.811,-0.1573,-0.7528,-1.3861,-1.5809
66,0.8226,0.0234,-0.4066,-1.4941,1.79,0.1494,-0.5254,-1.2828,0.8097,-2.9058,0.0823,0.3622,0.4902,0.3121
67,-1.3243,-0.6028,-0.9246,-0.6235,-0.5533,-2.1855,-0.4961,-1.1432,0.5084,-2.7993,-0.5943,-1.0927,-0.2266,0.7486
68,-0.9865,-0.786,-1.3132,-1.1919,2.473,-2.6334,-0.6388,-1.2113,0.4979,-3.2474,-0.9776,-1.1528,-1.2975,-1.6696
69,-1.1273,-0.6401,-2.0269,-3.0606,0.8719,-2.8681,-1.0101,-2.0111,0.5264,-3.6926,-1.1599,-1.157,-1.8218,-2.6205
70,-2.155,-0.8684,-1.1834,-1.4969,1.4298,-0.3824,-0.3561,-1.6434,-0.9656,-2.042,0.0122,-1.937,-1.3702,-1.7694
71,-1.0623,-0.4407,-1.5187,-2.3959,1.4226,-1.1542,-1.2902,-1.7827,0.1812,-4.345,-0.5076,-0.7198,-1.3028,-1.9175
72,-0.2548,-0.1209,-0.7752,-1.1835,0.4519,1.8237,-0.0832,-0.1326,0.9084,-0.5783,-0.3147,-1.1202,4.0249,-1.97
73,-1.2248,-0.6282,-1.8374,-1.7623,-0.4994,2.1454,-0.4616,-1.202,-1.627,-1.2869,-1.0787,-0.3242,-0.2959,-2.4189
74,-1.4072,-0.1697,-1.5118,-2.342,1.094,-1.1161,-0.4113,-1.6907,-0.4412,-3.3551,-0.6347,-1.8526,-2.5424,0.3341
75,-0.738,-0.4743,-0.7953,-1.8198,0.1591,-3.8335,-1.4011,-1.5015,-0.5565,-3.256,-0.3686,-1.1488,-1.1136,-1.1394
76,-1.1627,-0.5708,-1.0097,-1.9491,0.9485,-0.4508,-0.4923,-1.1431,-2.03,-3.3038,-1.8331,-0.4259,-1.3096,-2.3592
77,-1.2417,-0.8541,-1.3271,-2.7689,0.1409,-2.6048,-0.8054,-2.0204,-1.2209,-3.1917,-0.7274,-1.6921,-0.7157,-2.6135
78,-0.2612,-0.3723,-1.6573,-1.8284,-1.4749,-3.6024,0.3222,-1.4461,-0.194,-3.4418,-1.1365,-0.9087,-0.1074,-2.4789
79,-2.3884,0.7526,-1.8576,-2.9238,-2.5462,-5.3324,-0.7544,-1.9794,-1.5147,-2.8613,-1.4744,-1.4625,-2.6879,-2.9338
80,-1.1244,-0.4459,-2.2485,-2.551,-0.2797,-5.5291,-1.936,-2.2023,-1.369,-2.996,-1.6333,-2.1725,-1.7386,-2.9716
81,-1.4204,-0.5083,-2.1731,-2.4863,-2.064,-1.4823,-1.0567,-1.5903,-0.8747,-3.2187,-0.6591,-1.7372,-1.6502,-2.3585
82,-0.8742,-0.4247,-0.5887,-1.4757,0.2633,-1.9163,-1.0576,-1.1058,0.3889,-2.7579,-1.6729,-1.4973,-0.4439,-2.1645
83,-1.3674,-0.3622,-0.4925,-1.9408,0.0009,-2.879,-1.8891,-1.5097,0.6851,-3.5013,-1.0947,-1.1809,-2.0396,-1.0725
84,-0.4583,-0.6937,-1.1204,-1.9922,0.992,0.4074,-0.027,-0.8782,0.649,-0.095,0.1668,-1.193,0.1633,-1.5833
85,-0.4617,-0.6603,-1.4346,-2.1515,0.4517,-1.8421,-0.8246,-1.8027,-0.7279,-3.4078,-0.6976,-1.1612,-1.7744,-1.8386
