,O15232,O60635,P00750,P08727,P08833,P14136,P16234,P18627,P19429,P21246,P52823,P55259,Q8IU54,Q96JP9,Q9P0M4,Q9Y653,Class Label
57,-0.7026,0.4,0.4682,0.7035,1.675,0.0387,0.737,0.5736,-2.5782,0.363,0.0552,0.7749,-0.7934,-1.9152,-0.9122,2.2999,0
58,-1.9399,-0.2928,-1.0387,1.986,-3.3921,-1.8472,-1.7452,-0.2909,-1.5645,-0.7348,0.2167,-1.6006,2.8428,-1.4994,-1.6394,-2.4561,0
59,-0.0273,1.8752,0.0919,2.156,1.0439,0.1802,-0.3345,1.1504,-2.9974,-0.1989,-0.9835,1.675,1.157,-1.4418,-1.3007,0.8109,0
60,-0.7601,-0.2113,0.1088,5.5691,2.7252,-0.1005,-1.1556,-0.9113,1.0424,-0.5989,2.7774,1.1285,-0.6856,-1.6507,2.9217,-1.7414,0
61,3.3361,-0.4791,1.6075,0.3347,3.2163,-0.3137,0.7303,-0.2298,3.5251,3.4607,3.9282,2.351,-1.7924,-1.9922,0.7957,1.3266,0
62,-1.8213,-0.6029,-1.7686,-1.6798,-4.3444,-1.7203,-1.6033,-0.2018,-3.0012,-1.7979,-1.1544,-2.6218,0.8943,-1.1813,-2.1539,-2.8154,0
63,-0.6973,-0.4076,-2.3917,-2.0351,0.8977,-1.3854,-1.3276,-0.2875,-3.2176,-1.1925,-0.4205,-2.2016,0.5074,-1.5452,-1.2131,-2.605,0
64,-0.4496,-0.5948,-1.6209,-0.2586,1.8729,0.0781,-0.2325,-0.1434,-3.0562,0.2716,-0.7384,-0.4059,0.0156,-1.4758,0.3532,-1.104,0
65,-0.7893,-0.4875,-1.6668,0.2836,-3.388,-1.0524,-1.6777,0.0728,-2.811,-1.1257,-0.1573,-0.7528,2.6069,-1.6501,-1.3861,-1.5809,0
66,0.8226,0.0234,-0.4066,1.79,0.1494,-0.5254,-1.2828,0.8097,-2.9058,-0.8336,0.0823,0.3622,1.8909,-1.0157,0.4902,0.3121,0
67,-1.3243,-0.6028,-0.9246,-0.5533,-2.1855,-0.4961,-1.1432,0.5084,-2.7993,0.4171,-0.5943,-1.0927,1.3565,-1.6624,-0.2266,0.7486,0
68,-0.9865,-0.786,-1.3132,2.473,-2.6334,-0.6388,-1.2113,0.4979,-3.2474,-0.8298,-0.9776,-1.1528,2.6968,-2.0073,-1.2975,-1.6696,0
69,-1.1273,-0.6401,-2.0269,0.8719,-2.8681,-1.0101,-2.0111,0.5264,-3.6926,-1.4742,-1.1599,-1.157,1.0893,-2.0835,-1.8218,-2.6205,0
70,-2.155,-0.8684,-1.1834,1.4298,-0.3824,-0.3561,-1.6434,-0.9656,-2.042,-0.9788,0.0122,-1.937,-0.469,-1.5316,-1.3702,-1.7694,0
71,-1.0623,-0.4407,-1.5187,1.4226,-1.1542,-1.2902,-1.7827,0.1812,-4.345,-0.5065,-0.5076,-0.7198,1.6375,-1.1652,-1.3028,-1.9175,0
72,-0.2548,-0.1209,-0.7752,0.4519,1.8237,-0.0832,-0.1326,0.9084,-0.5783,-0.2611,-0.3147,-1.1202,1.6063,-1.0097,4.0249,-1.97,0
73,-1.2248,-0.6282,-1.8374,-0.4994,2.1454,-0.4616,-1.202,-1.627,-1.2869,-1.1687,-1.0787,-0.3242,-0.0148,-1.271,-0.2959,-2.4189,0
74,-1.4072,-0.1697,-1.5118,1.094,-1.1161,-0.4113,-1.6907,-0.4412,-3.3551,-1.3314,-0.6347,-1.8526,1.5101,-1.0401,-2.5424,0.3341,0
75,-0.738,-0.4743,-0.7953,0.1591,-3.8335,-1.4011,-1.5015,-0.5565,-3.256,-1.2284,-0.3686,-1.1488,1.621,-1.8751,-1.1136,-1.1394,0
76,-1.1627,-0.5708,-1.0097,0.9485,-0.4508,-0.4923,-1.1431,-2.03,-3.3038,0.1844,-1.8331,-0.4259,-0.8323,-1.8079,-1.3096,-2.3592,0
77,-1.2417,-0.8541,-1.3271,0.1409,-2.6048,-0.8054,-2.0204,-1.2209,-3.1917,-1.4753,-0.7274,-1.6921,0.395,-1.7896,-0.7157,-2.6135,0
78,-0.2612,-0.3723,-1.6573,-1.4749,-3.6024,0.3222,-1.4461,-0.194,-3.4418,-0.3711,-1.1365,-0.9087,0.2103,-1.7063,-0.1074,-2.4789,0
79,-2.3884,0.7526,-1.8576,-2.5462,-5.3324,-0.7544,-1.9794,-1.5147,-2.8613,-0.7029,-1.4744,-1.4625,-0.3438,-1.7735,-2.6879,-2.9338,0
80,-1.1244,-0.4459,-2.2485,-0.2797,-5.5291,-1.936,-2.2023,-1.369,-2.996,-2.0093,-1.6333,-2.1725,1.1101,-1.7417,-1.7386,-2.9716,0
81,-1.4204,-0.5083,-2.1731,-2.064,-1.4823,-1.0567,-1.5903,-0.8747,-3.2187,-1.9631,-0.6591,-1.7372,-1.106,1.179,-1.6502,-2.3585,0
82,-0.8742,-0.4247,-0.5887,0.2633,-1.9163,-1.0576,-1.1058,0.3889,-2.7579,-0.3344,-1.6729,-1.4973,1.011,-1.4581,-0.4439,-2.1645,0
83,-1.3674,-0.3622,-0.4925,0.0009,-2.879,-1.8891,-1.5097,0.6851,-3.5013,-0.6963,-1.0947,-1.1809,2.5592,-1.7999,-2.0396,-1.0725,0
84,-0.4583,-0.6937,-1.1204,0.992,0.4074,-0.027,-0.8782,0.649,-0.095,-0.6535,0.1668,-1.193,2.3139,-2.0735,0.1633,-1.5833,0
85,-0.4617,-0.6603,-1.4346,0.4517,-1.8421,-0.8246,-1.8027,-0.7279,-3.4078,-1.5829,-0.6976,-1.1612,1.1199,-1.3243,-1.7744,-1.8386,0
86,-0.448,-0.3779,-1.5898,0.7693,-2.1369,-1.7785,-1.7687,-0.6463,-3.1707,-2.0965,-0.3422,-2.6236,2.1095,-2.205,-1.9024,-2.3192,0
87,-0.2772,-0.5437,0.1583,1.089,-1.5194,-0.2792,-1.1603,0.7093,-3.1448,0.73,1.0257,-1.5479,2.9602,-1.4533,0.7143,1.5214,0
88,-0.4958,-0.5898,-0.8941,0.6779,1.2334,0.574,0.3529,-0.1382,-1.24,5.0764,0.1461,0.8129,-1.3825,-1.8593,-0.6177,0.1883,0
89,0.1573,-0.3776,-0.9869,2.0998,-2.3467,-0.1049,-1.2672,-0.8499,-2.9421,-0.3438,0.3137,-0.9652,1.8328,-1.8979,-1.0246,-0.6337,0
90,0.1754,-0.657,-1.4549,-0.1384,-1.72,-0.9097,-1.5261,-1.1627,-3.87,-1.3645,0.3645,0.2274,0.2593,-1.7485,-1.9363,-2.5561,0
91,-1.4813,-0.2442,-1.4529,-1.0365,-4.5166,-1.2689,-1.3937,-0.471,-2.0607,-0.9144,-1.036,-1.4651,2.708,-1.5584,-0.0127,-1.9369,0
92,-0.9889,-0.5154,-1.0727,1.9552,-1.1406,-0.2169,-1.0862,-0.6334,-3.2655,-1.6215,0.4893,-1.6979,1.3475,-2.2101,-1.4633,-3.2921,0
