P07478,Q9P0K1,Q9P0K1,Q9Y639
-0.9654,-2.8889,-2.8889,-0.6718
-0.2961,-3.6965,-3.6965,-1.0036
-0.1827,-3.4422,-3.4422,-0.8689
0.1507,-3.7526,-3.7526,-0.2144
-0.546,-3.6026,-3.6026,-2.0736
0.3352,-2.7671,-2.7671,-0.901
-1.7128,-3.635,-3.635,-0.6279
-0.84,-3.6435,-3.6435,-2.0048
-0.3483,-2.0677,-2.0677,-1.6054
-1.2362,-2.7844,-2.7844,-1.1421
-1.4054,-2.8101,-2.8101,-1.2194
-1.4288,-2.978,-2.978,-0.237
-2.7113,-3.7285,-3.7285,-1.1297
-0.4361,-2.7683,-2.7683,-2.4764
0.907,-3.4517,-3.4517,-1.2445
-0.6146,-2.6931,-2.6931,1.89
-0.6497,-2.3515,-2.3515,-0.9708
-1.5296,-2.1776,-2.1776,-0.8944
-1.0585,-3.1579,-3.1579,-1.3542
-1.7694,-2.1562,-2.1562,-1.2094
-1.4687,-3.1245,-3.1245,-1.8891
-1.1866,-4.3178,-4.3178,-1.1108
-1.1106,-3.5913,-3.5913,-1.0608
-0.0975,-2.1801,-2.1801,-1.4062
-1.1891,-2.8004,-2.8004,-0.7087
0.2962,-3.0275,-3.0275,-0.7299
-1.5856,-3.1328,-3.1328,-1.3607
-1.3598,-3.3377,-3.3377,-1.156
-0.7752,-3.7973,-3.7973,-0.8861
-0.8433,-3.3876,-3.3876,2.1042
0.0059,-3.3385,-3.3385,-0.7785
0.0271,-2.5062,-2.5062,-1.8489
-1.7711,-1.9752,-1.9752,0.4166
-1.0673,-2.5069,-2.5069,-1.5645
-1.9338,-2.7083,-2.7083,-0.688
-1.0231,-3.7275,-3.7275,-0.7206
-0.368,-2.8067,-2.8067,-1.8504
-1.9108,-2.5789,-2.5789,-0.1032
0.5805,-2.2042,-2.2042,-1.2932
-0.2089,-2.5382,-2.5382,-1.108
-1.1121,-3.0783,-3.0783,-1.03
0.459,-2.5163,-2.5163,-0.8111
0.3512,-2.3144,-2.3144,-0.5649
-0.8096,-0.8691,-0.8691,-0.421
1.9513,-1.5397,-1.5397,-0.6196
-1.9273,-2.8235,-2.8235,-1.0089
0.6045,-2.9137,-2.9137,-0.9212
-0.0288,-2.0243,-2.0243,-0.8748
-1.2202,-3.3334,-3.3334,-1.1683
1.335,0.5377,0.5377,-0.2636
2.4976,-1.3021,-1.3021,-0.4279
-1.5969,-3.839,-3.839,-0.3053
-0.5361,-3.1461,-3.1461,-0.7883
-1.8383,-2.9104,-2.9104,-0.7376
0.2613,-2.6119,-2.6119,-1.5093
-0.6291,-3.254,-3.254,-0.8507
0.238,-1.7262,-1.7262,-0.7274
-2.3696,-3.776,-3.776,-0.8176
-0.4953,-3.7593,-3.7593,-1.3912
-0.4861,-2.049,-2.049,-0.8308
-0.7141,-3.1694,-3.1694,-0.5264
1.0269,-1.8355,-1.8355,-1.1892
2.7412,-3.2623,-3.2623,-1.6162
-0.7012,-2.7023,-2.7023,-0.8578
1.0799,-1.7421,-1.7421,-0.7869
1.1645,-2.3759,-2.3759,-0.4965
-2.3205,-3.6202,-3.6202,-1.3219
2.3779,-0.1678,-0.1678,-0.1138
1.7213,-3.3093,-3.3093,-0.8089
-1.2281,-2.9793,-2.9793,-1.0837
-0.4073,-2.7968,-2.7968,-0.2992
2.4647,-1.3863,-1.3863,-1.2445
-1.283,-3.3558,-3.3558,-1.0122
-0.3533,-1.4222,-1.4222,-0.8578
-1.1337,-2.8004,-2.8004,-1.0251
-1.12,-2.9765,-2.9765,-1.6535
-0.0085,-1.3976,-1.3976,-1.0048
0.7678,-1.3801,-1.3801,-1.4756
