,P07585,P16234,P52823,Q9P0M4,Q9Y653,Class Label
263,-1.4613,-0.8129,-1.4115,-0.4166,-1.2562,0
264,-1.2353,-1.4901,0.3554,-0.9749,-0.9806,0
265,-2.2763,-1.5867,-0.577,-0.9649,-1.8882,0
266,-2.0107,-1.5041,-1.1682,-0.6773,-2.182,0
267,-1.3693,-1.0019,-0.8643,-1.8825,-1.8288,0
268,-1.7936,-1.9424,0.2154,-1.0684,-2.1164,0
269,-0.0057,-1.3572,0.2312,-1.0475,-1.6649,0
270,-1.169,-1.3006,0.2213,-1.2686,-1.0788,0
271,-1.3396,-1.046,1.017,5.2428,0.641,0
272,-2.574,-1.7686,-1.4633,-0.9808,-2.9659,0
273,-2.0258,-1.3196,1.3804,-1.2762,-2.042,0
274,-1.2329,-1.5383,-0.5443,1.027,-0.623,0
275,-1.9165,-1.4195,-0.4043,-1.8045,-1.2257,0
276,-1.5952,-2.0824,-1.1523,-1.9705,0.2556,0
277,-1.7317,-1.5757,0.1105,-0.9486,-1.9615,0
278,-2.3186,-1.4745,-1.0771,-1.1831,-1.8903,0
279,-1.5423,-1.4738,-0.9144,-0.7536,-1.5284,0
280,-1.8901,-1.2575,0.4446,-2.2363,-1.0064,0
281,-1.0279,-1.293,0.4536,-1.3892,0.9456,0
282,1.0033,-0.2349,0.1676,-0.9124,1.9186,0
283,-1.7306,-1.3749,-0.0779,1.6805,-0.7999,0
284,-2.3781,-1.185,-1.1465,-1.8455,-1.6067,0
285,-2.1795,-1.351,-1.3392,-1.8469,-1.7769,0
286,-1.6297,-0.5164,-1.0559,-1.2494,0.0735,0
287,-1.9653,-1.4051,-0.532,-0.7069,-1.4617,0
288,-2.4097,-1.5304,-1.0062,-1.5811,-1.9708,0
289,-2.0246,-1.5382,-0.538,-1.152,-2.5807,0
290,-1.6006,-1.3011,-0.0854,-2.0257,-1.3954,0
291,-1.9713,-1.5784,-0.3551,-0.96,-1.7137,0
292,-1.5704,-1.2246,-0.9493,0.77,-2.2534,0
293,-2.2105,-1.653,-1.0269,-1.7072,-1.9853,0
294,-2.2615,-1.8713,-1.4356,-2.1149,-2.2718,0
295,-0.9263,-0.7195,-0.251,1.4212,-0.2377,0
296,-0.4382,-0.3604,0.7121,-1.2606,-1.2168,0
297,-1.9182,-1.2869,-1.4749,-0.095,-2.0489,0
298,-2.253,-1.4283,-1.2059,-0.7367,-2.3928,0
299,-1.8455,-1.0356,-0.3943,-0.6777,-0.1327,0
300,-1.6698,-1.3658,-0.7358,-1.728,-1.3289,1
301,-1.7183,-1.2928,0.2492,-1.293,-1.5457,1
302,-1.3357,-0.6603,0.6477,1.0042,0.7337,1
303,-0.2333,-0.5264,0.0309,4.271,-1.1411,1
304,-0.3897,-0.9107,-0.0671,1.0018,1.2965,1
305,-1.8491,-1.2467,-0.3764,-0.7777,0.1129,1
306,-2.0934,-1.5926,0.2633,-0.3823,0.1339,1
307,0.4121,-0.824,-0.4539,0.8902,-1.0914,1
308,-1.328,0.0431,1.07,0.8112,-0.4369,1
309,0.0911,1.8799,0.0009,2.0805,0.6329,1
310,0.8285,1.1901,2.9389,2.8119,0.0035,1
311,-0.9168,-0.2872,1.6184,-0.834,-0.241,1
312,-1.4345,-1.0755,1.6595,3.6428,0.4174,1
313,-0.6767,-0.7349,0.9809,2.9789,0.1196,1
314,-1.3301,-1.7367,0.5496,-1.8018,-0.6587,1
315,0.2764,-0.4923,0.1294,1.7462,0.1842,1
316,0.751,1.9734,2.794,-0.161,2.7754,1
317,-1.154,0.2125,0.5661,0.9467,0.2672,1
318,-1.9434,-1.7744,-0.1993,-1.2963,0.1722,1
319,-1.7186,-1.2151,1.1592,-1.032,-0.0193,1
320,-0.2639,-0.3832,4.3898,2.9356,1.1661,1
321,-0.2643,-1.2235,-0.2343,-1.472,-0.0923,1
322,0.2798,0.0035,1.2751,0.6027,-0.6469,1
323,-2.1492,-1.4731,-0.4534,-0.9271,0.5213,1
324,-0.8433,-0.2074,-1.3455,1.324,-1.0597,1
325,-0.0499,-0.7662,-0.5249,0.8627,0.4132,1
326,-1.8284,-1.2971,-0.7768,0.7799,-1.0091,1
327,0.1748,-0.4985,3.0761,3.7128,0.1431,1
328,0.0934,-1.0352,3.8266,2.2019,-0.7045,1
329,-0.5505,-0.805,0.2057,0.4751,-0.0404,1
330,0.3543,-0.2737,2.7772,1.7791,1.4798,1
331,0.384,0.3562,3.3672,0.4361,0.6061,1
332,-2.4301,-1.7962,-0.8906,-1.9502,0.6181,1
333,0.6448,0.4592,0.1199,1.7063,-0.5389,1
334,-1.1097,-1.2515,1.8152,-1.4101,-0.6206,1
335,-1.2406,-0.9465,0.238,-1.2618,0.2267,1
336,-0.3377,-1.1368,0.4851,0.0351,0.7177,1
337,0.839,-0.2291,1.1093,3.31,1.0332,1
338,-0.7789,-0.5488,0.8657,0.3844,1.2588,1
339,0.0824,-0.3291,2.3867,1.1664,1.8874,1
340,-1.6721,-1.5509,-0.8692,-0.7645,-2.4301,1
341,-0.5414,-0.8855,1.5468,0.584,1.2652,1
342,-0.6373,-1.4417,1.2397,-0.0589,-0.6997,1
343,0.3649,-0.1488,1.7518,1.0035,-0.7984,1
