Q9Y653,Q9P0M4,P07585,P16234,P52823,P14136,P08833,P55259,O60635,P19429,Class Label
-2.5658,-1.6742,-1.8609,-1.8743,-1.454,-0.9041,-1.923,1.2249,-0.6844,-3.7317,0
-1.5178,-1.7238,-2.3166,-0.7369,-0.11,-1.2553,-1.1286,-2.1513,-0.2161,-2.7776,0
-2.0995,-0.7574,-2.099,-1.9858,-1.4457,-1.3611,-2.8102,-0.4812,-0.6323,-3.5484,0
-0.5812,-1.0539,-1.8572,-1.2734,-1.3317,-0.8255,1.4136,-1.1443,-0.4621,-2.5842,0
-1.0736,-1.4037,-1.1228,-1.4322,0.219,-1.169,-0.2486,1.1459,-0.6381,-3.0175,0
-1.1277,-1.1485,-2.3092,-1.6606,-0.2436,-0.9628,-1.0872,-0.7144,-0.1707,-2.6462,0
-1.2768,-0.88,-1.4238,-1.6593,0.2762,-0.8032,-0.4219,-1.5327,-0.542,-3.5581,0
-1.0221,3.2687,-0.8507,-0.1884,0.7929,-1.0112,2.3817,-0.8759,-0.7844,-3.171,0
-0.1332,-0.9218,-2.3141,-1.5167,-0.4878,-1.6049,0.1265,-0.9067,-0.5211,-3.043,0
-2.8915,0.1259,-2.7922,-2.422,-0.7631,-1.7751,-1.5603,-2.0558,-0.8031,-4.0762,0
-1.6403,-0.952,-1.4352,-1.1506,-0.3454,0.07,-0.2906,-0.4921,-0.48,-3.0804,0
-1.3377,-0.2108,-0.1576,-0.4939,0.4995,-1.0549,0.2163,1.2254,-0.4108,-0.0629,0
-1.6234,-0.1954,-1.7088,-0.6798,-1.9503,-0.3493,2.2284,-0.0544,-0.0173,-3.285,0
-2.1736,-1.4475,-2.0838,-1.8327,-0.5933,-0.7936,-2.0072,-0.8712,-0.5442,-3.6229,0
-2.136,0.4157,-1.9283,-1.6455,-1.5028,-0.9414,-2.522,-2.0284,-0.188,-2.9275,0
-0.5386,0.5215,-1.1189,-1.389,-1.2046,0.62,-0.0273,0.4908,-0.4921,-1.4909,0
-1.9681,-1.303,-1.6933,-2.2795,-1.148,-1.1378,-2.6853,-1.3859,0.582,-2.4096,0
-2.2727,-0.9682,-2.0422,-1.9585,-2.1511,-0.7562,-0.958,-1.9725,-0.3751,-3.5823,0
-2.3874,-2.3872,-2.6541,-1.9512,-0.9016,-1.1244,-2.7827,-1.9039,-0.4569,-3.7847,0
-1.4977,-1.5061,-1.9012,-1.5335,-1.1411,-1.1987,-3.0473,-1.0827,-0.3914,0.1472,0
-1.8507,-1.3533,-1.8917,-1.966,-0.405,-1.2173,-2.3913,-0.2525,-0.5839,-3.148,0
-0.8346,0.9099,-1.5273,-1.4401,0.3342,-1.1382,0.6091,-2.4194,-0.7539,-3.0622,0
-2.6046,-1.5784,-2.6815,-1.4715,-0.9135,-1.2288,-3.1951,-0.944,-0.31,-2.5596,0
-2.4204,-0.8715,-1.8269,-1.4843,-1.0748,-0.9239,-4.2818,-1.4789,-0.262,-2.8602,0
-1.7619,-1.7198,-2.162,-1.2021,-0.5575,-0.4614,0.8337,-0.5331,-0.3483,-2.6683,0
-1.4687,-2.1263,-1.4998,-0.9162,-0.3619,-1.6085,-3.8748,-1.9089,-0.6261,-4.3726,0
-2.0024,-0.8919,-2.689,-1.865,-0.268,-1.4003,-0.1189,-0.1741,-0.796,-2.489,0
-2.5932,-1.7224,-0.981,-1.5571,-1.4513,-0.4409,1.1865,-1.5998,-0.6156,-0.0285,0
0.2318,0.9227,-1.9764,-0.9651,1.4992,-1.1968,2.7793,3.0477,-0.1887,-3.5957,0
